titulo,link,descricao,texto_completo,texto_limpo,sentimento
"Feito no Piauí, projeto de IA com base de dados em português é apresentado ao Governo - Agência Gov",https://news.google.com/rss/articles/CBMitgFBVV95cUxNSTFXQy1BR1ZtM1ZPQi1rU19rekhrUDRRNEZoSEVROEgzMDhSMXdCMklsd25MNFQ2TkxJb3pNRmN5NlZrb0ZEU09zUDJjRGdWVS1UVGMxZUQyNWFLcktFMlBpVGYtai1mUTBSTnZVNXZCUU1oMENjemhnOGVIaERVTFVTZEx3YXNUQ2Q3VWFRQWFxQ2h0VE1PeDhER243ejVkLUU0MTJTbmlXSXFRc2ZoSXBzTFJxZw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNSTFXQy1BR1ZtM1ZPQi1rU19rekhrUDRRNEZoSEVROEgzMDhSMXdCMklsd25MNFQ2TkxJb3pNRmN5NlZrb0ZEU09zUDJjRGdWVS1UVGMxZUQyNWFLcktFMlBpVGYtai1mUTBSTnZVNXZCUU1oMENjemhnOGVIaERVTFVTZEx3YXNUQ2Q3VWFRQWFxQ2h0VE1PeDhER243ejVkLUU0MTJTbmlXSXFRc2ZoSXBzTFJxZw?oc=5"" target=""_blank"">Feito no Piauí, projeto de IA com base de dados em português é apresentado ao Governo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agência Gov</font>","Feito no Piauí, projeto de IA com base de dados em português é apresentado ao Governo - Agência Gov <a href=""https://news.google.com/rss/articles/CBMitgFBVV95cUxNSTFXQy1BR1ZtM1ZPQi1rU19rekhrUDRRNEZoSEVROEgzMDhSMXdCMklsd25MNFQ2TkxJb3pNRmN5NlZrb0ZEU09zUDJjRGdWVS1UVGMxZUQyNWFLcktFMlBpVGYtai1mUTBSTnZVNXZCUU1oMENjemhnOGVIaERVTFVTZEx3YXNUQ2Q3VWFRQWFxQ2h0VE1PeDhER243ejVkLUU0MTJTbmlXSXFRc2ZoSXBzTFJxZw?oc=5"" target=""_blank"">Feito no Piauí, projeto de IA com base de dados em português é apresentado ao Governo</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Agência Gov</font>",feito no piau projeto de ia com base de dados em portugus  apresentado ao governo  agncia gov feito no piau projeto de ia com base de dados em portugus  apresentado ao governonbspnbspagncia gov,Neutro
Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16) - pi.gov.br,https://news.google.com/rss/articles/CBMi-AFBVV95cUxQWDRwSnBkdHMyc1l1all5b3h3dm4zcUxWSmIxYVRUazJLNy1LUHM0UUFrRXpnc25iaWtMRWtjOW9NeklWTTNEdUp1c1NpaEVGVWZqd2RqZDk1R0tDX2Z2Y2dOLW01VFB2ZWY2Vk5Pd0RlVEJOVDZQcHU3R253SWJ0aV9QSW5pMjhTTnpKYTRTcm1lOWtlQ2ZLR0N3eVpKQ0lxbndWTUlxSlRUTVZ3dGVLRzJyc2lybDlZb1lZaEhoemtjanRuWHRxb2F5MUhwMnl0RjZyVFZzWXdMUzRlT3l4dnpzczVVTW5oa0RWYkdLYlJNdmg1VTI4Mw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxQWDRwSnBkdHMyc1l1all5b3h3dm4zcUxWSmIxYVRUazJLNy1LUHM0UUFrRXpnc25iaWtMRWtjOW9NeklWTTNEdUp1c1NpaEVGVWZqd2RqZDk1R0tDX2Z2Y2dOLW01VFB2ZWY2Vk5Pd0RlVEJOVDZQcHU3R253SWJ0aV9QSW5pMjhTTnpKYTRTcm1lOWtlQ2ZLR0N3eVpKQ0lxbndWTUlxSlRUTVZ3dGVLRzJyc2lybDlZb1lZaEhoemtjanRuWHRxb2F5MUhwMnl0RjZyVFZzWXdMUzRlT3l4dnpzczVVTW5oa0RWYkdLYlJNdmg1VTI4Mw?oc=5"" target=""_blank"">Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>","Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16) - pi.gov.br <a href=""https://news.google.com/rss/articles/CBMi-AFBVV95cUxQWDRwSnBkdHMyc1l1all5b3h3dm4zcUxWSmIxYVRUazJLNy1LUHM0UUFrRXpnc25iaWtMRWtjOW9NeklWTTNEdUp1c1NpaEVGVWZqd2RqZDk1R0tDX2Z2Y2dOLW01VFB2ZWY2Vk5Pd0RlVEJOVDZQcHU3R253SWJ0aV9QSW5pMjhTTnpKYTRTcm1lOWtlQ2ZLR0N3eVpKQ0lxbndWTUlxSlRUTVZ3dGVLRzJyc2lybDlZb1lZaEhoemtjanRuWHRxb2F5MUhwMnl0RjZyVFZzWXdMUzRlT3l4dnpzczVVTW5oa0RWYkdLYlJNdmg1VTI4Mw?oc=5"" target=""_blank"">Piauí lança Sistema de Videomonitoramento Urbano com Inteligência Artificial e inaugura Centro Integrado de Comando e Controle neste sábado (16)</a>&nbsp;&nbsp;<font color=""#6f6f6f"">pi.gov.br</font>",piau lana sistema de videomonitoramento urbano com inteligncia artificial e inaugura centro integrado de comando e controle neste sbado 16  pigovbr piau lana sistema de videomonitoramento urbano com inteligncia artificial e inaugura centro integrado de comando e controle neste sbado 16nbspnbsppigovbr,Neutro
MPPI e Secretaria Estadual de Inteligência Artificial fortalecem parceria para inovação - Ministério Público do Piauí,https://news.google.com/rss/articles/CBMixwFBVV95cUxPVkdrTjNEY0ZWNXFhUkV1RG83NnBLZXQ3LUpmM2h3ZHBPVjJSRHpGMGFBaEZCTGZkX3VRTWRsY2NTWTBUSVZHYm1keWtORkNhcWZCUk5zZjZId21SSHdpbWZqTlhXaXhDNkdwQnJ1NHdFTVdoaHAxMWNVMUFZT3BfQWlWMGZCY1o5Z29ZdFRJOUE4UkJqY3VVNWNqRC05Ymp2ZWRnd3M3d3RfSDJoeG1VMVEzUmh5Z1VYSHRNRmtTU21TeEUtTHhB?oc=5,"<a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPVkdrTjNEY0ZWNXFhUkV1RG83NnBLZXQ3LUpmM2h3ZHBPVjJSRHpGMGFBaEZCTGZkX3VRTWRsY2NTWTBUSVZHYm1keWtORkNhcWZCUk5zZjZId21SSHdpbWZqTlhXaXhDNkdwQnJ1NHdFTVdoaHAxMWNVMUFZT3BfQWlWMGZCY1o5Z29ZdFRJOUE4UkJqY3VVNWNqRC05Ymp2ZWRnd3M3d3RfSDJoeG1VMVEzUmh5Z1VYSHRNRmtTU21TeEUtTHhB?oc=5"" target=""_blank"">MPPI e Secretaria Estadual de Inteligência Artificial fortalecem parceria para inovação</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ministério Público do Piauí</font>","MPPI e Secretaria Estadual de Inteligência Artificial fortalecem parceria para inovação - Ministério Público do Piauí <a href=""https://news.google.com/rss/articles/CBMixwFBVV95cUxPVkdrTjNEY0ZWNXFhUkV1RG83NnBLZXQ3LUpmM2h3ZHBPVjJSRHpGMGFBaEZCTGZkX3VRTWRsY2NTWTBUSVZHYm1keWtORkNhcWZCUk5zZjZId21SSHdpbWZqTlhXaXhDNkdwQnJ1NHdFTVdoaHAxMWNVMUFZT3BfQWlWMGZCY1o5Z29ZdFRJOUE4UkJqY3VVNWNqRC05Ymp2ZWRnd3M3d3RfSDJoeG1VMVEzUmh5Z1VYSHRNRmtTU21TeEUtTHhB?oc=5"" target=""_blank"">MPPI e Secretaria Estadual de Inteligência Artificial fortalecem parceria para inovação</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Ministério Público do Piauí</font>",mppi e secretaria estadual de inteligncia artificial fortalecem parceria para inovao  ministrio pblico do piau mppi e secretaria estadual de inteligncia artificial fortalecem parceria para inovaonbspnbspministrio pblico do piau,Positivo
Parem as máquinas! A IA tem uma reportagem urgente - Revista Piauí,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTTU1cFBrV1I0N1NUckdOSXAtZGl3Nm95anc3V2hTak9TSlY3MTZDYWZYdnh4TlA4OU43LTFCdlpPYzZkU1NTTkNXdDdXaG43SVJtU0FjNi1XcHdKWGM4WkVHRnNMV2FIMTk1Zjc5OG1MZlNEaDl1OGdOOExJaWVfUG5WZkx4Tm1z0gGOAUFVX3lxTE9YVVJNOTU1RC1ubUdBODZNMkFzX0tzemM1WWNLTHRYVzRIM1ozb3FjOEV2R25JZWp5bUFya1dLdFN2S1lqUUtzakRHdWdsNk9SZm9kSTA2OXQ0XzZnWE9wYVJXYWR3UHBGMnRoanlSRDNmNmtGeXJSbEZmVlZRbW5zQklRSWFEdzMxR2dLdEE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTTU1cFBrV1I0N1NUckdOSXAtZGl3Nm95anc3V2hTak9TSlY3MTZDYWZYdnh4TlA4OU43LTFCdlpPYzZkU1NTTkNXdDdXaG43SVJtU0FjNi1XcHdKWGM4WkVHRnNMV2FIMTk1Zjc5OG1MZlNEaDl1OGdOOExJaWVfUG5WZkx4Tm1z0gGOAUFVX3lxTE9YVVJNOTU1RC1ubUdBODZNMkFzX0tzemM1WWNLTHRYVzRIM1ozb3FjOEV2R25JZWp5bUFya1dLdFN2S1lqUUtzakRHdWdsNk9SZm9kSTA2OXQ0XzZnWE9wYVJXYWR3UHBGMnRoanlSRDNmNmtGeXJSbEZmVlZRbW5zQklRSWFEdzMxR2dLdEE?oc=5"" target=""_blank"">Parem as máquinas! A IA tem uma reportagem urgente</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Revista Piauí</font>","Parem as máquinas! A IA tem uma reportagem urgente - Revista Piauí <a href=""https://news.google.com/rss/articles/CBMiiAFBVV95cUxQTTU1cFBrV1I0N1NUckdOSXAtZGl3Nm95anc3V2hTak9TSlY3MTZDYWZYdnh4TlA4OU43LTFCdlpPYzZkU1NTTkNXdDdXaG43SVJtU0FjNi1XcHdKWGM4WkVHRnNMV2FIMTk1Zjc5OG1MZlNEaDl1OGdOOExJaWVfUG5WZkx4Tm1z0gGOAUFVX3lxTE9YVVJNOTU1RC1ubUdBODZNMkFzX0tzemM1WWNLTHRYVzRIM1ozb3FjOEV2R25JZWp5bUFya1dLdFN2S1lqUUtzakRHdWdsNk9SZm9kSTA2OXQ0XzZnWE9wYVJXYWR3UHBGMnRoanlSRDNmNmtGeXJSbEZmVlZRbW5zQklRSWFEdzMxR2dLdEE?oc=5"" target=""_blank"">Parem as máquinas! A IA tem uma reportagem urgente</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Revista Piauí</font>",parem as mquinas a ia tem uma reportagem urgente  revista piau parem as mquinas a ia tem uma reportagem urgentenbspnbsprevista piau,Neutro
"Governo do Piauí lança SoberanIA, primeira plataforma de Inteligência Artificial 100% em português - Assembleia Legislativa do Piauí",https://news.google.com/rss/articles/CBMi1AFBVV95cUxOMVFReWwwbDg5R2JUZnFBQURTbEdMR2hGdk12QU5MXzFQdkhucEpnOGliVUduSENDVUFVTFZYX2F3Vk1BLUpjQWZuaTNZWGpoc25nZ2RseWJ1R1NFVmdFcWVtcGN1OHo4LVIxV2xvbFVMTm9US2t3SVYxRy0zMDFPOVhRNUctZlNENG9OZ3R0RWgtU09MUlhaTFpkdFRkYVM2ZlRZV2dUeGtEYTIzbTQ5SDcwSjNkaks0X0ZYV3ZPd0xPUmY1dEwyckNnVVdlMTgzbjQ1MA?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOMVFReWwwbDg5R2JUZnFBQURTbEdMR2hGdk12QU5MXzFQdkhucEpnOGliVUduSENDVUFVTFZYX2F3Vk1BLUpjQWZuaTNZWGpoc25nZ2RseWJ1R1NFVmdFcWVtcGN1OHo4LVIxV2xvbFVMTm9US2t3SVYxRy0zMDFPOVhRNUctZlNENG9OZ3R0RWgtU09MUlhaTFpkdFRkYVM2ZlRZV2dUeGtEYTIzbTQ5SDcwSjNkaks0X0ZYV3ZPd0xPUmY1dEwyckNnVVdlMTgzbjQ1MA?oc=5"" target=""_blank"">Governo do Piauí lança SoberanIA, primeira plataforma de Inteligência Artificial 100% em português</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Assembleia Legislativa do Piauí</font>","Governo do Piauí lança SoberanIA, primeira plataforma de Inteligência Artificial 100% em português - Assembleia Legislativa do Piauí <a href=""https://news.google.com/rss/articles/CBMi1AFBVV95cUxOMVFReWwwbDg5R2JUZnFBQURTbEdMR2hGdk12QU5MXzFQdkhucEpnOGliVUduSENDVUFVTFZYX2F3Vk1BLUpjQWZuaTNZWGpoc25nZ2RseWJ1R1NFVmdFcWVtcGN1OHo4LVIxV2xvbFVMTm9US2t3SVYxRy0zMDFPOVhRNUctZlNENG9OZ3R0RWgtU09MUlhaTFpkdFRkYVM2ZlRZV2dUeGtEYTIzbTQ5SDcwSjNkaks0X0ZYV3ZPd0xPUmY1dEwyckNnVVdlMTgzbjQ1MA?oc=5"" target=""_blank"">Governo do Piauí lança SoberanIA, primeira plataforma de Inteligência Artificial 100% em português</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Assembleia Legislativa do Piauí</font>",governo do piau lana soberania primeira plataforma de inteligncia artificial 100 em portugus  assembleia legislativa do piau governo do piau lana soberania primeira plataforma de inteligncia artificial 100 em portugusnbspnbspassembleia legislativa do piau,Neutro
Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial - Cidadesnanet.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxNV1lfQ05JMEVXeGdCaW9XQ2xvYXZCeEk1UHl3elhrQ0t3VENjazdXT3BzTTF2WkZaRjhXVmlyS2ZoSmpDLUxNeVo1RE53aHF0bjV4eW41T3FSQm9wRXRWQnE5WngxY0VYNjhJRmJzV1lWU2N3NjFvd3RKbV95UUJiaTY0bng5SFM3eV9mSVgtNFl0Y3UxNTY3YlJKSUt5eXJmVWNiZDd5bmZOM2hZXzljc2l0NNIBuwFBVV95cUxOanJ2TUVZbGpoYjNZdEhRdEtfMElmMVF4eHk2NERVemRWMmlROUk3WTE1MXZaOVQ2TkpFd09uLXBNd2d6MWpxMWxBMWhrazBIYlIyVkhmaVYwYXNvWnlCblFVX1E1cG8tTW5VYmJSRk1qR04wWWZzZml5cUJKTGo0dEJZRzZLZkNrNjg2eUJ3bzhUTWRBbDJTem9JYUZaZm1kdHVmVGVPVTFSdUw1akM4TVJpbFJDNU9VeEZz?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNV1lfQ05JMEVXeGdCaW9XQ2xvYXZCeEk1UHl3elhrQ0t3VENjazdXT3BzTTF2WkZaRjhXVmlyS2ZoSmpDLUxNeVo1RE53aHF0bjV4eW41T3FSQm9wRXRWQnE5WngxY0VYNjhJRmJzV1lWU2N3NjFvd3RKbV95UUJiaTY0bng5SFM3eV9mSVgtNFl0Y3UxNTY3YlJKSUt5eXJmVWNiZDd5bmZOM2hZXzljc2l0NNIBuwFBVV95cUxOanJ2TUVZbGpoYjNZdEhRdEtfMElmMVF4eHk2NERVemRWMmlROUk3WTE1MXZaOVQ2TkpFd09uLXBNd2d6MWpxMWxBMWhrazBIYlIyVkhmaVYwYXNvWnlCblFVX1E1cG8tTW5VYmJSRk1qR04wWWZzZml5cUJKTGo0dEJZRzZLZkNrNjg2eUJ3bzhUTWRBbDJTem9JYUZaZm1kdHVmVGVPVTFSdUw1akM4TVJpbFJDNU9VeEZz?oc=5"" target=""_blank"">Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cidadesnanet.com</font>","Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial - Cidadesnanet.com <a href=""https://news.google.com/rss/articles/CBMiswFBVV95cUxNV1lfQ05JMEVXeGdCaW9XQ2xvYXZCeEk1UHl3elhrQ0t3VENjazdXT3BzTTF2WkZaRjhXVmlyS2ZoSmpDLUxNeVo1RE53aHF0bjV4eW41T3FSQm9wRXRWQnE5WngxY0VYNjhJRmJzV1lWU2N3NjFvd3RKbV95UUJiaTY0bng5SFM3eV9mSVgtNFl0Y3UxNTY3YlJKSUt5eXJmVWNiZDd5bmZOM2hZXzljc2l0NNIBuwFBVV95cUxOanJ2TUVZbGpoYjNZdEhRdEtfMElmMVF4eHk2NERVemRWMmlROUk3WTE1MXZaOVQ2TkpFd09uLXBNd2d6MWpxMWxBMWhrazBIYlIyVkhmaVYwYXNvWnlCblFVX1E1cG8tTW5VYmJSRk1qR04wWWZzZml5cUJKTGo0dEJZRzZLZkNrNjg2eUJ3bzhUTWRBbDJTem9JYUZaZm1kdHVmVGVPVTFSdUw1akM4TVJpbFJDNU9VeEZz?oc=5"" target=""_blank"">Piauí ocupa 2ª posição em ranking nacional no uso de Inteligência Artificial</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Cidadesnanet.com</font>",piau ocupa 2 posio em ranking nacional no uso de inteligncia artificial  cidadesnanetcom piau ocupa 2 posio em ranking nacional no uso de inteligncia artificialnbspnbspcidadesnanetcom,Neutro
Piauí adota Inovação e Inteligência Artificial como políticas de Estado - CartaCapital,https://news.google.com/rss/articles/CBMiugFBVV95cUxOclczOTJuOVk0anNoZkFkVWdGenJaS19YNERhMDA3bHVIR2RGU0xqQUh1MXBndEpCUUpKdll5OUwxR2F4TTYxWm5XREtwbEl4OWt0aHQ2NlV5SndPU2JIZ1RBY3Y4YkR1Z1ZLd0pkU2hMRFZCS3VqNEZocUdOTDFfVjkwbDVXRnE5Wnl1c0xPLTZ3QlFRbU55UnhIY1hHUUhuajJ4cW5nZFBUWWRlZXB2MktsR1NkMGM4blE?oc=5,"<a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOclczOTJuOVk0anNoZkFkVWdGenJaS19YNERhMDA3bHVIR2RGU0xqQUh1MXBndEpCUUpKdll5OUwxR2F4TTYxWm5XREtwbEl4OWt0aHQ2NlV5SndPU2JIZ1RBY3Y4YkR1Z1ZLd0pkU2hMRFZCS3VqNEZocUdOTDFfVjkwbDVXRnE5Wnl1c0xPLTZ3QlFRbU55UnhIY1hHUUhuajJ4cW5nZFBUWWRlZXB2MktsR1NkMGM4blE?oc=5"" target=""_blank"">Piauí adota Inovação e Inteligência Artificial como políticas de Estado</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CartaCapital</font>","Piauí adota Inovação e Inteligência Artificial como políticas de Estado - CartaCapital <a href=""https://news.google.com/rss/articles/CBMiugFBVV95cUxOclczOTJuOVk0anNoZkFkVWdGenJaS19YNERhMDA3bHVIR2RGU0xqQUh1MXBndEpCUUpKdll5OUwxR2F4TTYxWm5XREtwbEl4OWt0aHQ2NlV5SndPU2JIZ1RBY3Y4YkR1Z1ZLd0pkU2hMRFZCS3VqNEZocUdOTDFfVjkwbDVXRnE5Wnl1c0xPLTZ3QlFRbU55UnhIY1hHUUhuajJ4cW5nZFBUWWRlZXB2MktsR1NkMGM4blE?oc=5"" target=""_blank"">Piauí adota Inovação e Inteligência Artificial como políticas de Estado</a>&nbsp;&nbsp;<font color=""#6f6f6f"">CartaCapital</font>",piau adota inovao e inteligncia artificial como polticas de estado  cartacapital piau adota inovao e inteligncia artificial como polticas de estadonbspnbspcartacapital,Positivo
Governo do Piauí apresenta projeto de IA com base de dados em português - GOV.BR,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOWXJqcm1IUDFjSzhtcHFxX1BQbTJVN3BQOGM2Zk1SNGthczlpSDk3V0txN0t5cFJ0dWdEbjNkNG5Zbm1zcEdOZjllLXZ2dmdvLXpGOVBjQldpNWhRWW82V1ZuMUJrbEVaZGRVclVYMUNicm96SDhlNWkyZ1F1QlNRNHVjLXBWZGxZajFGQXNyVGlXbW1VM21BRUNiQzV5SVZTLV9QYWp0NDZSYmFjdGVldllvVU5TY3RjcXhzWHF1SGRsTFNWTk1SbkhvUlU4NHk4?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOWXJqcm1IUDFjSzhtcHFxX1BQbTJVN3BQOGM2Zk1SNGthczlpSDk3V0txN0t5cFJ0dWdEbjNkNG5Zbm1zcEdOZjllLXZ2dmdvLXpGOVBjQldpNWhRWW82V1ZuMUJrbEVaZGRVclVYMUNicm96SDhlNWkyZ1F1QlNRNHVjLXBWZGxZajFGQXNyVGlXbW1VM21BRUNiQzV5SVZTLV9QYWp0NDZSYmFjdGVldllvVU5TY3RjcXhzWHF1SGRsTFNWTk1SbkhvUlU4NHk4?oc=5"" target=""_blank"">Governo do Piauí apresenta projeto de IA com base de dados em português</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GOV.BR</font>","Governo do Piauí apresenta projeto de IA com base de dados em português - GOV.BR <a href=""https://news.google.com/rss/articles/CBMi0AFBVV95cUxOWXJqcm1IUDFjSzhtcHFxX1BQbTJVN3BQOGM2Zk1SNGthczlpSDk3V0txN0t5cFJ0dWdEbjNkNG5Zbm1zcEdOZjllLXZ2dmdvLXpGOVBjQldpNWhRWW82V1ZuMUJrbEVaZGRVclVYMUNicm96SDhlNWkyZ1F1QlNRNHVjLXBWZGxZajFGQXNyVGlXbW1VM21BRUNiQzV5SVZTLV9QYWp0NDZSYmFjdGVldllvVU5TY3RjcXhzWHF1SGRsTFNWTk1SbkhvUlU4NHk4?oc=5"" target=""_blank"">Governo do Piauí apresenta projeto de IA com base de dados em português</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GOV.BR</font>",governo do piau apresenta projeto de ia com base de dados em portugus  govbr governo do piau apresenta projeto de ia com base de dados em portugusnbspnbspgovbr,Neutro
"UFPI participa do lançamento da SoberanIA, primeira inteligência artificial brasileira baseada em dados públicos - UFPI",https://news.google.com/rss/articles/CBMi8AFBVV95cUxQWFpBYlQwb2tOX2dra0RtZFVialVzQzBlSmlKNTB6VGREZmRoalJkUXFHQzhRbmhEUFprdEVTbmU1cGF5cFk3ZE4xX3ZNekVwQkd2RDNfYWF5OFlrTUhrOWdSdXpLNlYxeW5JUWhfZmx4VF8wXy1seUFKcXJqcHBWRmttZVdLZVRMbVBoUG9tVXM4WUVTb0dnWXRxMk9iQnd6TXlpMkpLVG45ZnRCTXY5c2pQS0RKaTg5YjBKZHVvbnBTT3I0dVlpUzJTdXMyWHlwWFBWaFBjRE0tYXZaaUhkU1lOai0xYVpvZGlNQ1FMeFk?oc=5,"<a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxQWFpBYlQwb2tOX2dra0RtZFVialVzQzBlSmlKNTB6VGREZmRoalJkUXFHQzhRbmhEUFprdEVTbmU1cGF5cFk3ZE4xX3ZNekVwQkd2RDNfYWF5OFlrTUhrOWdSdXpLNlYxeW5JUWhfZmx4VF8wXy1seUFKcXJqcHBWRmttZVdLZVRMbVBoUG9tVXM4WUVTb0dnWXRxMk9iQnd6TXlpMkpLVG45ZnRCTXY5c2pQS0RKaTg5YjBKZHVvbnBTT3I0dVlpUzJTdXMyWHlwWFBWaFBjRE0tYXZaaUhkU1lOai0xYVpvZGlNQ1FMeFk?oc=5"" target=""_blank"">UFPI participa do lançamento da SoberanIA, primeira inteligência artificial brasileira baseada em dados públicos</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UFPI</font>","UFPI participa do lançamento da SoberanIA, primeira inteligência artificial brasileira baseada em dados públicos - UFPI <a href=""https://news.google.com/rss/articles/CBMi8AFBVV95cUxQWFpBYlQwb2tOX2dra0RtZFVialVzQzBlSmlKNTB6VGREZmRoalJkUXFHQzhRbmhEUFprdEVTbmU1cGF5cFk3ZE4xX3ZNekVwQkd2RDNfYWF5OFlrTUhrOWdSdXpLNlYxeW5JUWhfZmx4VF8wXy1seUFKcXJqcHBWRmttZVdLZVRMbVBoUG9tVXM4WUVTb0dnWXRxMk9iQnd6TXlpMkpLVG45ZnRCTXY5c2pQS0RKaTg5YjBKZHVvbnBTT3I0dVlpUzJTdXMyWHlwWFBWaFBjRE0tYXZaaUhkU1lOai0xYVpvZGlNQ1FMeFk?oc=5"" target=""_blank"">UFPI participa do lançamento da SoberanIA, primeira inteligência artificial brasileira baseada em dados públicos</a>&nbsp;&nbsp;<font color=""#6f6f6f"">UFPI</font>",ufpi participa do lanamento da soberania primeira inteligncia artificial brasileira baseada em dados pblicos  ufpi ufpi participa do lanamento da soberania primeira inteligncia artificial brasileira baseada em dados pblicosnbspnbspufpi,Neutro
Inteligência Artificial (IA) na educação pública do Piauí - Fundação Telefônica Vivo,https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5,"<a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5"" target=""_blank"">Inteligência Artificial (IA) na educação pública do Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fundação Telefônica Vivo</font>","Inteligência Artificial (IA) na educação pública do Piauí - Fundação Telefônica Vivo <a href=""https://news.google.com/rss/articles/CBMijwFBVV95cUxPN0NHeEJOREVkTTJCUFNTbEZCU0lTRU5DZkxGaXNkWXRTWjhBVDZrV09TR09NSkZ5NWVRNko1UTNMazBBVlQ3bnp6Y0ktZnUxc1N5SWhjbVJ0WFRpbnctU0lHZDQwRkRoalB5RGlpc2xUZ1RrOVY1R0FNV2ZQZ0haVXZ6SkJvMlJ4TGRfOEtRYw?oc=5"" target=""_blank"">Inteligência Artificial (IA) na educação pública do Piauí</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Fundação Telefônica Vivo</font>",inteligncia artificial ia na educao pblica do piau  fundao telefnica vivo inteligncia artificial ia na educao pblica do piaunbspnbspfundao telefnica vivo,Neutro
